date,resolution_ms,source,target,lag_ms,n_impulses,response_return,response_signed_notional,p_return,p_flow,q_return,q_flow,significant
2024-03-05,100,SOLUSDT,SOLUSDT,2000,321,7.792989343686546e-05,14925.97522056075,0.01,0.01,0.01,0.01,True
2024-03-05,100,SOLUSDT,SOLUSDT,5000,321,7.828009685710002e-05,19438.71702523364,0.01,0.01,0.01,0.01,True
2024-03-05,250,BTCUSDT,BTCUSDT,10,343,2.099188864334615e-05,19597.174936443116,0.01,0.01,0.01,0.01,True
2024-03-05,250,BTCUSDT,BTCUSDT,25,343,2.099188864334615e-05,19597.174936443116,0.01,0.01,0.01,0.01,True
2024-03-05,250,BTCUSDT,BTCUSDT,50,343,2.099188864334615e-05,19597.174936443116,0.01,0.01,0.01,0.01,True
2024-03-05,250,BTCUSDT,BTCUSDT,100,343,2.099188864334615e-05,19597.174936443116,0.01,0.01,0.01,0.01,True
2024-03-05,250,BTCUSDT,BTCUSDT,250,343,2.099188864334615e-05,19597.174936443116,0.01,0.01,0.01,0.01,True
2024-03-05,250,BTCUSDT,BTCUSDT,500,343,2.5735628503616342e-05,19390.711667055308,0.01,0.01,0.01,0.01,True
2024-03-05,250,BTCUSDT,BTCUSDT,1000,343,2.576150242363614e-05,61642.88502215733,0.01,0.01,0.01,0.01,True
2024-03-05,250,BTCUSDT,BTCUSDT,2000,343,3.0102018482813215e-05,98770.30365889185,0.01,0.01,0.01,0.01,True
2024-03-05,250,BTCUSDT,BTCUSDT,5000,343,1.5356202998962532e-05,167091.87656822163,0.01,0.01,0.01,0.01,True
2024-03-05,250,BTCUSDT,ETHUSDT,10,343,2.341091304921579e-05,4817.764201166185,0.01,0.01,0.01,0.01,True
2024-03-05,250,BTCUSDT,ETHUSDT,25,343,2.341091304921579e-05,4817.764201166185,0.01,0.01,0.01,0.01,True
2024-03-05,250,BTCUSDT,ETHUSDT,50,343,2.341091304921579e-05,4817.764201166185,0.01,0.01,0.01,0.01,True
2024-03-05,250,BTCUSDT,ETHUSDT,100,343,2.341091304921579e-05,4817.764201166185,0.01,0.01,0.01,0.01,True
2024-03-05,250,BTCUSDT,ETHUSDT,250,343,2.341091304921579e-05,4817.764201166185,0.01,0.01,0.01,0.01,True
2024-03-05,250,BTCUSDT,ETHUSDT,500,343,2.9441936340274336e-05,3552.6669641399453,0.01,0.01,0.01,0.01,True
2024-03-05,250,BTCUSDT,ETHUSDT,1000,343,4.120168780146004e-05,9523.67979825073,0.01,0.01,0.01,0.01,True
2024-03-05,250,BTCUSDT,ETHUSDT,2000,343,4.521218395207775e-05,8306.89893615162,0.01,0.01,0.01,0.01,True
2024-03-05,250,BTCUSDT,ETHUSDT,5000,343,4.083785757303906e-05,10779.359943731813,0.01,0.01,0.01,0.01,True
2024-03-05,250,BTCUSDT,SOLUSDT,10,343,2.6382548661453214e-05,1959.0963067055318,0.01,0.01,0.01,0.01,True
2024-03-05,250,BTCUSDT,SOLUSDT,25,343,2.6382548661453214e-05,1959.0963067055318,0.01,0.01,0.01,0.01,True
2024-03-05,250,BTCUSDT,SOLUSDT,50,343,2.6382548661453214e-05,1959.0963067055318,0.01,0.01,0.01,0.01,True
