t_ms,signed_notional,notional,return,idx,z_flow,z_activity,direction,symbol,date,resolution_ms
1709597162100,-238031.46160000004,238031.46160000004,-2.4839547483779256e-05,3621,-10.71610563540826,11.245852528823503,-1,BTCUSDT,2024-03-05,100
1709597164500,-432432.3168000001,432432.3168000001,-0.00017974401869835788,3645,-19.467974341897374,11.788172636996874,-1,BTCUSDT,2024-03-05,100
1709597166300,-544067.9010000001,544067.9010000001,-0.00021197017585983247,3663,-24.493775153758257,11.996779340864666,-1,BTCUSDT,2024-03-05,100
1709597175100,-159556.7169,159556.7169,3.944568585190211e-05,3751,-7.183195959249321,10.88250058299859,-1,BTCUSDT,2024-03-05,100
1709597184300,2774328.784799999,3662386.7586000045,0.00038401589100267586,3843,124.89945709458524,13.728867462726708,1,BTCUSDT,2024-03-05,100
1709597191900,679321.0195999999,679321.0195999999,0.00010513066875716959,3919,30.582830342906412,12.198456595975806,1,BTCUSDT,2024-03-05,100
1709597193800,529299.501,530669.499,2.7737651453918488e-05,3938,23.82890617634589,11.974129332098217,1,BTCUSDT,2024-03-05,100
1709597195200,231804.0,231804.0,1.4598550812650046e-06,3952,10.435747165576267,11.221770953598423,1,BTCUSDT,2024-03-05,100
1709597196400,843178.4087,844822.4700999998,7.444989197225027e-05,3964,37.959641286026695,12.396512196190715,1,BTCUSDT,2024-03-05,100
1709597199000,-636608.0588,636608.0588,-0.00019416526152404856,3990,-28.65990554608682,12.139467035596507,-1,BTCUSDT,2024-03-05,100
1709597200500,-144993.2191,144993.2191,-3.504191889902586e-05,4005,-6.527551617964329,10.795558161461635,-1,BTCUSDT,2024-03-05,100
1709597207700,-1762638.5196,1762775.5196,-0.00024674576770067347,4077,-79.35346212684529,13.064639444441925,-1,BTCUSDT,2024-03-05,100
1709597221200,-200952.1755,201226.1387,-7.737977486321768e-05,4212,-9.046807198713179,11.09326998102144,-1,BTCUSDT,2024-03-05,100
1709597223700,-222051.73230000006,222188.62410000004,-6.2821366006105e-05,4237,-9.996702973033361,11.183287277824679,-1,BTCUSDT,2024-03-05,100
1709597226900,-494909.80080000014,494909.80080000014,-0.0002017694308609208,4269,-22.280692097265433,11.910757555333195,-1,BTCUSDT,2024-03-05,100
1709597228800,645164.9157999998,647901.4557999999,0.0002207410329262416,4288,29.04513270430665,12.155440305292453,1,BTCUSDT,2024-03-05,100
1709597231700,414289.5672999999,415657.6712999998,0.00021197544380413547,4317,18.65119315317592,11.752233878090411,1,BTCUSDT,2024-03-05,100
1709597243500,-388950.78429999994,388950.78429999994,-0.00011547453835802912,4435,-17.510448675637132,11.691909451089264,-1,BTCUSDT,2024-03-05,100
1709597246900,135315.0603,173622.7563,7.455252045751593e-05,4469,6.0918437860671375,10.959244725927473,1,BTCUSDT,2024-03-05,100
1709597249000,286236.5474,286236.5474,0.00017685753440943586,4490,12.886284266940546,11.413370834910905,1,BTCUSDT,2024-03-05,100
1709597256200,-186492.7746,186492.7746,-0.00018117900827618882,4562,-8.395849268918585,11.024200227650958,-1,BTCUSDT,2024-03-05,100
1709597257600,-7068360.192400006,7230429.200000007,-0.0004371936332940862,4576,-318.2154744659733,14.346730124768555,-1,BTCUSDT,2024-03-05,100
1709597263000,-698726.8631000002,714054.8919000002,-9.791707016582052e-05,4630,-31.456475647994957,12.24375368595456,-1,BTCUSDT,2024-03-05,100
1709597265700,-477339.9136999999,477339.9136999999,-0.00012572051760706415,4657,-21.489701003482224,11.877922815726734,-1,BTCUSDT,2024-03-05,100
1709597271600,-236447.65490000005,236447.65490000005,-2.192474404694167e-05,4716,-10.644803128633805,11.23978822577163,-1,BTCUSDT,2024-03-05,100
1709597275700,-244119.3182,252327.4142,-0.0001286617426075054,4757,-10.990179129644272,11.298833073201996,-1,BTCUSDT,2024-03-05,100
1709597285600,-233395.82700000002,233532.47560000003,-7.317783534510625e-05,4856,-10.507410743872319,11.228519221696395,-1,BTCUSDT,2024-03-05,100
1709597291200,-164775.9326,164775.9326,-2.4874438954824996e-05,4912,-7.418163498410881,10.91173843274338,-1,BTCUSDT,2024-03-05,100
1709597307300,-345002.8438,345002.8438,-3.51166751570986e-05,5073,-15.531925459878178,11.582995224732215,-1,BTCUSDT,2024-03-05,100
1709597309300,-1024563.5040000004,1026067.0390000003,-9.950379805445664e-05,5093,-46.1255443513524,12.573065808781791,-1,BTCUSDT,2024-03-05,100
1709597315000,-341975.54209999996,341975.54209999996,-0.00011854991514148594,5150,-15.395637237349147,11.57498932367123,-1,BTCUSDT,2024-03-05,100
1709597316400,-938128.1704999998,938128.1704999998,-0.00029721619915257236,5164,-42.23425133406939,12.49167370994131,-1,BTCUSDT,2024-03-05,100
1709597319200,-709289.8214000001,709289.8214000001,-9.664651252805356e-05,5192,-31.93201689033471,12.237671547665188,-1,BTCUSDT,2024-03-05,100
1709597321500,-495820.3676999999,544722.9528999999,-0.0001962237190973326,5215,-22.321685548395436,11.997872356920636,-1,BTCUSDT,2024-03-05,100
1709597331800,-1554806.6398000002,1582118.0398000001,-0.00018744993457531223,5318,-69.99693268585534,12.966421181366917,-1,BTCUSDT,2024-03-05,100
1709597336400,133956.11470000003,133956.11470000003,4.391666374559122e-05,5364,6.030664459164357,10.72363818576237,1,BTCUSDT,2024-03-05,100
1709597341800,1491394.4981,1713424.7137000002,1.6101279980418326e-05,5418,67.14213691870336,13.03884569749607,1,BTCUSDT,2024-03-05,100
1709597351400,249571.68940000006,250255.12540000005,0.00010681611177609796,5514,11.235643260099614,11.291342075625783,1,BTCUSDT,2024-03-05,100
1709597354400,273185.9409,273185.9409,0.00015515495034001958,5544,12.29874984220488,11.370980771586908,1,BTCUSDT,2024-03-05,100
1709597355900,-559129.6847,559129.6847,-6.292469598889738e-05,5559,-25.171852178122794,12.021584689936626,-1,BTCUSDT,2024-03-05,100
1709597358000,271485.13249999995,271485.13249999995,7.024393673304985e-05,5580,12.222179953680573,11.365307717317869,1,BTCUSDT,2024-03-05,100
1709597408700,-372618.1246,477720.2768,-0.00011998653823930283,6087,-16.775157191579066,11.87864635613276,-1,BTCUSDT,2024-03-05,100
1709597414200,-200255.81269999995,200529.12869999994,-0.00012879412131105994,6142,-9.015457152483116,11.090118086004939,-1,BTCUSDT,2024-03-05,100
1709597415500,-195943.34050000008,202501.81090000007,-8.489598051930614e-05,6155,-8.82131093612026,11.099010426670796,-1,BTCUSDT,2024-03-05,100
1709597416800,-254410.90970000002,302775.2483000001,-0.00012295747882440367,6168,-11.45350351932432,11.46439620221052,-1,BTCUSDT,2024-03-05,100
1709597420900,-554254.498,554254.498,-4.392418686016697e-05,6209,-24.95237272226276,12.013629615629492,-1,BTCUSDT,2024-03-05,100
1709597422300,252329.7471,252329.7471,6.882760956372636e-05,6223,11.35981019779383,11.298841471552613,1,BTCUSDT,2024-03-05,100
1709597432700,-1364614.533199999,1364751.0233999991,-0.00015240372949776315,6327,-61.434540590093654,12.832170019131716,-1,BTCUSDT,2024-03-05,100
1709597436100,182569.70690000002,182569.70690000002,0.00019780437212091329,6361,8.219233927377289,11.004887840896062,1,BTCUSDT,2024-03-05,100
1709597439700,239100.76800000004,239100.76800000004,-6.446111971314394e-05,6397,10.764245491635645,11.249924065578321,1,BTCUSDT,2024-03-05,100
1709597445500,-375017.8460999999,375836.8952999999,-9.96227521596893e-05,6455,-16.883191940081236,11.66075442679044,-1,BTCUSDT,2024-03-05,100
