idx,timestamp_us,kind,direction,score
6150,1704067815200000,removed_liquidity,-1,8.395917213942477
6162,1704067816400000,removed_liquidity,-1,6.242050883617158
6183,1704067818500000,signed_liquidity_delta,-1,130.72340359826475
6198,1704067820000000,imbalance_change,1,22.826246946270594
6215,1704067821700000,signed_liquidity_delta,-1,7.63379564901817
6239,1704067824100000,signed_liquidity_delta,-1,88.75056872664386
6262,1704067826400000,signed_liquidity_delta,-1,17.967119279700206
6279,1704067828100000,imbalance_change,-1,7.639902210913145
6291,1704067829300000,signed_liquidity_delta,1,6.7386478197360065
6346,1704067834800000,imbalance_change,1,11.844185728062016
6372,1704067837400000,signed_liquidity_delta,-1,6.071981779046843
6383,1704067838500000,removed_liquidity,1,7.462761916047139
6396,1704067839800000,signed_liquidity_delta,-1,7.325501728793369
6409,1704067841100000,imbalance_change,1,30.383362315358895
6442,1704067844400000,removed_liquidity,-1,7.532893108595305
6467,1704067846900000,imbalance_change,1,17.48364250381871
6478,1704067848000000,imbalance_change,-1,7.1239297915310065
6488,1704067849000000,imbalance_change,-1,8.812853918089685
6498,1704067850000000,signed_liquidity_delta,1,6.239952409017039
6557,1704067855900000,imbalance_change,1,10.520477058881893
6579,1704067858100000,imbalance_change,1,19.904948873336078
6591,1704067859300000,imbalance_change,-1,8.799279901122777
6603,1704067860500000,imbalance_change,-1,13.577041895440049
6617,1704067861900000,imbalance_change,-1,6.828890713788899
6636,1704067863800000,imbalance_change,-1,9.154597847278264
6650,1704067865200000,signed_liquidity_delta,1,6.20552364635234
6670,1704067867200000,imbalance_change,1,22.900297107351157
6682,1704067868400000,signed_liquidity_delta,-1,6.72717156551444
6711,1704067871300000,imbalance_change,-1,17.381780233466436
6729,1704067873100000,imbalance_change,-1,111.98563771816607
6741,1704067874300000,signed_liquidity_delta,1,51.63792751785627
6758,1704067876000000,imbalance_change,1,10.252411937607267
6781,1704067878300000,imbalance_change,1,9.464198405268828
6800,1704067880200000,signed_liquidity_delta,-1,34.50648820465375
6828,1704067883000000,imbalance_change,1,8.127407004879279
6852,1704067885400000,removed_liquidity,-1,9.050938983324913
6920,1704067892200000,signed_liquidity_delta,1,55.39587912750004
6966,1704067896800000,imbalance_change,1,43.48984917140549
6979,1704067898100000,imbalance_change,1,27.237722932584827
6998,1704067900000000,signed_liquidity_delta,-1,6.520598989526249
7021,1704067902300000,imbalance_change,1,15.701810063224269
7032,1704067903400000,imbalance_change,1,17.857277833003753
7056,1704067905800000,imbalance_change,1,13.16142798634418
7068,1704067907000000,signed_liquidity_delta,1,9.107451020651101
7080,1704067908200000,imbalance_change,-1,8.419524573852511
7092,1704067909400000,imbalance_change,-1,30.975345399041267
7124,1704067912600000,imbalance_change,-1,10.182231613308376
7157,1704067915900000,imbalance_change,-1,10.792569334569624
7175,1704067917700000,removed_liquidity,1,9.579510465074701
7188,1704067919000000,imbalance_change,-1,15.000021618418595
7200,1704067920200000,signed_liquidity_delta,-1,24.310879624630505
7210,1704067921200000,imbalance_change,1,40.62694279323188
7233,1704067923500000,signed_liquidity_delta,1,31.342171927016448
7271,1704067927300000,imbalance_change,1,9.222166540994257
7282,1704067928400000,imbalance_change,1,16.234883098086012
7297,1704067929900000,imbalance_change,-1,30.954912470507765
7307,1704067930900000,imbalance_change,-1,6.642304065221132
7341,1704067934300000,signed_liquidity_delta,-1,29.32339447985912
7354,1704067935600000,signed_trade_notional,1,8.535721403230033
7371,1704067937300000,signed_liquidity_delta,-1,7.5028620213084825
7384,1704067938600000,signed_liquidity_delta,-1,9.108494316489427
7408,1704067941000000,signed_liquidity_delta,1,6.978605862550572
7422,1704067942400000,imbalance_change,-1,24.536559273551887
7434,1704067943600000,imbalance_change,-1,21.43223934840274
7444,1704067944600000,imbalance_change,1,7.486369499142786
7497,1704067949900000,signed_liquidity_delta,1,44.89093333141367
7515,1704067951700000,imbalance_change,1,19.342273993161797
7547,1704067954900000,imbalance_change,-1,12.177715271244864
7593,1704067959500000,imbalance_change,1,29.68438115246919
7607,1704067960900000,imbalance_change,-1,20.97054911149423
